"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","Category","Student Group","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Students","School",79.8,75.7,71.8,78.3,75.5,60.9,79.3,76.6,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","*","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","English Language Learners (EL)","Not English Learners","*","*",71.8,78.2,75.4,"*",79.7,76.7,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Gender","Female",82.9,75.4,"*",82.1,75.9,"*",83.2,77.9,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Gender","Male",77.0,76.0,72.5,75.0,75.2,61.9,74.7,75.1,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade","03",73.1,69.9,"N/A",71.5,68.9,"N/A",74.5,69.3,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade","04",82.2,74.6,"N/A",76.0,75.5,"N/A",77.9,77.3,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade","05",83.4,81.0,71.8,78.9,75.2,60.9,81.2,82.9,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade","06",78.6,75.4,"N/A",83.6,80.1,"N/A",82.0,76.1,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","High Needs (F/R, EL or SWD)","High Needs",67.9,66.4,"*",72.1,68.9,"*",75.5,74.4,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","High Needs (F/R, EL or SWD)","Not High Needs",83.5,78.7,"*",80.2,77.5,62.1,81.1,77.7,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",72.3,71.0,"*","*","*","*",77.3,75.4,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",81.1,76.6,"*",79.3,76.7,61.7,80.0,77.0,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Race/Ethnicity","Asian","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Race/Ethnicity","Black or African American","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","N/A","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","N/A","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Race/Ethnicity","White",80.2,75.8,71.8,78.1,75.4,60.9,80.2,76.9,"N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education Status (SWD)","Students with Disabilities","*","*","N/A","*","*","N/A","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education Status (SWD)","Students without Disabilities",82.1,77.6,71.8,79.9,77.2,60.9,80.9,77.6,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Students","School",51.4,46.0,44.5,51.6,45.4,47.2,54.1,49.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","English Language Learners (EL)","Not English Learners","*","*",44.7,52.3,46.1,47.4,54.7,48.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Gender","Female",53.1,46.9,46.3,54.4,45.4,48.9,55.2,48.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Gender","Male",49.9,45.3,42.9,48.8,45.4,45.8,53.2,49.1,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade","10","N/A","N/A",44.5,"N/A","N/A",47.2,"N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade","11",51.4,46.0,"N/A",51.6,45.4,"N/A",54.1,49.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs (F/R, EL or SWD)","High Needs",47.2,41.8,40.3,46.9,41.4,41.6,49.8,46.5,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs (F/R, EL or SWD)","Not High Needs",57.4,52.1,58.0,61.8,54.1,58.0,62.7,54.1,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",47.2,41.6,40.9,48.3,42.6,41.8,49.9,46.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",56.5,51.4,52.9,56.8,49.7,56.0,61.5,52.7,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","*","N/A","N/A","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","Asian","N/A","N/A","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","Black or African American",46.7,44.6,41.6,45.3,37.4,38.6,46.5,41.1,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","Hispanic or Latino",44.4,37.7,43.6,48.8,45.4,43.2,50.6,48.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","N/A"
