Educator Race/Ethnicity Report for 2015-16,,,,
,,,,
District,School,Race,Count,% of Total
Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,Black Or African American,11,20
,,Hispanic Or Latino,6,10.9
,,Not Reported,1,1.8
,,Two Or More Races,1,1.8
,,White,36,65.5
Achievement First Hartford Academy District,Achievement First Hartford Academy,Black Or African American,24,20.7
,,Hispanic Or Latino,5,4.3
,,Not Reported,4,3.4
,,Two Or More Races,2,1.7
,,White,74,63.8
,,American Indian Or Alaska Native,2,1.7
,,Asian,5,4.3
Amistad Academy District,Amistad Academy,Black Or African American,15,12.7
,,Hispanic Or Latino,7,5.9
,,Not Reported,7,5.9
,,Two Or More Races,1,0.8
,,White,86,72.9
,,Asian,2,1.7
Andover School District,Andover Elementary School,White,29,100
Ansonia School District,Ansonia High School,Hispanic Or Latino,1,1.8
,,White,54,94.7
,,Asian,2,3.5
,Ansonia Middle School,Black Or African American,2,5
,,Hispanic Or Latino,3,7.5
,,White,35,87.5
,Mead School,White,49,100
,P.A.C.E. (Positive And Creative Education),White,5,100
,Prendergast School,Black Or African American,1,1.9
,,White,51,98.1
Area Cooperative Educational Services,A.C.E.S. Educational Center for the Arts - Part Time,White,7,100
,Center for Autism Spectrum and Development Disorders,White,7,100
,Mill Road School,Black Or African American,3,7.9
,,White,35,92.1
,Thomas Edison Magnet Middle School,Black Or African American,1,1.4
,,Hispanic Or Latino,4,5.8
,,White,63,91.3
,,Asian,1,1.4
,Village School,White,31,100
,Whitney High School East,White,27,100
,Whitney High School North,Black Or African American,4,18.2
,,Hispanic Or Latino,1,4.5
,,White,17,77.3
,Whitney High School West,White,11,100
,Wintergreen Interdistrict Magnet School,Black Or African American,3,5.7
,,Hispanic Or Latino,2,3.8
,,White,48,90.6
Ashford School District,Ashford School,White,44,100
Avon School District,Avon Early Learning Center at Roaring Brook School,White,2,100
,Avon High School,Black Or African American,1,1
,,White,95,96.9
,,Asian,2,2
,Avon Middle School,Black Or African American,1,1.9
,,White,52,96.3
,,Asian,1,1.9
,Pine Grove School,White,45,95.7
,,Asian,1,2.1
,,Native Hawaiian Or Other Pacific Islander,1,2.1
,Roaring Brook School,White,44,95.7
,,Asian,1,2.2
,,Native Hawaiian Or Other Pacific Islander,1,2.2
,Thompson Brook School,Hispanic Or Latino,1,2.2
,,White,44,97.8
Barkhamsted School District,Barkhamsted Elementary School,White,26,100
Berlin School District,Berlin High School,Hispanic Or Latino,3,3.1
,,White,95,96.9
,Catherine M. McGee Middle School,White,66,98.5
,,Asian,1,1.5
,Emma Hart Willard School,White,49,100
,Mary E. Griswold School,Black Or African American,1,2.1
,,White,46,97.9
,Richard D. Hubbard School,White,25,100
Bethany School District,Bethany Community School,Hispanic Or Latino,1,2.1
,,White,45,95.7
,,Asian,1,2.1
Bethel School District,Anna H. Rockwell School,White,40,100
,Bethel High School,Black Or African American,1,1.1
,,Hispanic Or Latino,1,1.1
,,White,89,96.7
,,Asian,1,1.1
,Bethel Middle School,Hispanic Or Latino,1,1.6
,,White,61,98.4
,Community Partnership Program,White,1,100
,Frank A. Berry School,Hispanic Or Latino,1,2.1
,,White,46,97.9
,Ralph M. T. Johnson School,White,41,100
Bloomfield School District,Bloomfield High School,Black Or African American,16,25
,,Hispanic Or Latino,1,1.6
,,Two Or More Races,1,1.6
,,White,44,68.8
,,Asian,2,3.1
,Carmen Arace Intermediate School,Black Or African American,7,19.4
,,White,29,80.6
,Carmen Arace Middle School,Black Or African American,15,44.1
,,White,19,55.9
,Global Experience Magnet School,Black Or African American,4,15.4
,,White,21,80.8
,,Asian,1,3.8
,Laurel School,Black Or African American,5,13.5
,,White,31,83.8
,,Asian,1,2.7
,Metacomet School,Black Or African American,7,29.2
,,White,17,70.8
,Wintonbury Early Childhood Magnet School,Black Or African American,1,3.2
,,Hispanic Or Latino,1,3.2
,,White,29,93.5
Bolton School District,Bolton Center School,Hispanic Or Latino,2,3.8
,,White,51,96.2
,Bolton High School,White,40,100
Booker T. Washington Academy District,Booker T. Washington Academy,Black Or African American,4,26.7
,,Hispanic Or Latino,1,6.7
,,White,10,66.7
Bozrah School District,Fields Memorial School,White,28,100
Branford School District,Branford High School,Black Or African American,1,1
,,Hispanic Or Latino,4,4
,,White,94,94
,,Asian,1,1
,Branford High School Horizons Program,White,7,100
,Francis Walsh Intermediate School,Hispanic Or Latino,1,1.2
,,White,80,98.8
,Indian Neck School,Hispanic Or Latino,1,20
,,White,4,80
,John B. Sliney School,Hispanic Or Latino,1,2.8
,,White,35,97.2
,Mary R. Tisko School,White,33,100
,Mary T. Murphy School,White,42,100
Brass City Charter School District,Brass City Charter School,Hispanic Or Latino,1,5
,,White,18,90
,,Asian,1,5
Bridgeport School District,A.B. Skane Center,Black Or African American,2,7.1
,,Hispanic Or Latino,4,14.3
,,White,22,78.6
,Aerospace/Hydrospace Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus,Black Or African American,2,5.3
,,Hispanic Or Latino,3,7.9
,,White,32,84.2
,,American Indian Or Alaska Native,1,2.6
,Barnum School,Black Or African American,5,8.5
,,Hispanic Or Latino,11,18.6
,,White,43,72.9
,Bassick High School,Black Or African American,10,11.9
,,Hispanic Or Latino,10,11.9
,,White,62,73.8
,,Asian,2,2.4
,Beardsley School,Black Or African American,1,3.1
,,Hispanic Or Latino,1,3.1
,,White,30,93.8
,Biotechnology Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus,Black Or African American,4,12.5
,,Hispanic Or Latino,3,9.4
,,White,21,65.6
,,Asian,4,12.5
,Black Rock School,Black Or African American,3,7.1
,,Hispanic Or Latino,4,9.5
,,White,34,81
,,American Indian Or Alaska Native,1,2.4
,Blackham School,Black Or African American,5,6.6
,,Hispanic Or Latino,5,6.6
,,White,65,85.5
,,Asian,1,1.3
,Bridgeport Learning Center,Black Or African American,4,20
,,Hispanic Or Latino,1,5
,,White,15,75
,Bridgeport Military Academy,Black Or African American,2,9.1
,,Hispanic Or Latino,1,4.5
,,White,17,77.3
,,Asian,2,9.1
,Bridgeport Regional Vocational Aquaculture School,Black Or African American,1,6.7
,,White,13,86.7
,,Asian,1,6.7
,Bryant School,Black Or African American,2,5.9
,,Hispanic Or Latino,2,5.9
,,White,29,85.3
,,Asian,1,2.9
,Career and Craftsmanship,Black Or African American,1,20
,,White,4,80
,Central High School,Black Or African American,14,11.4
,,Hispanic Or Latino,10,8.1
,,White,97,78.9
,,American Indian Or Alaska Native,1,0.8
,,Asian,1,0.8
,Cesar Batalla School,Black Or African American,5,6.5
,,Hispanic Or Latino,29,37.7
,,White,41,53.2
,,American Indian Or Alaska Native,1,1.3
,,Asian,1,1.3
,Classical Studies Academy,Black Or African American,9,25.7
,,Hispanic Or Latino,1,2.9
,,White,25,71.4
,Columbus School,Black Or African American,12,18.5
,,Hispanic Or Latino,5,7.7
,,White,46,70.8
,,American Indian Or Alaska Native,1,1.5
,,Asian,1,1.5
,Edison School,Black Or African American,2,7.4
,,Hispanic Or Latino,2,7.4
,,White,22,81.5
,,American Indian Or Alaska Native,1,3.7
,Geraldine Johnson School,Black Or African American,6,10
,,Hispanic Or Latino,2,3.3
,,White,49,81.7
,,Asian,3,5
,Hall School,Black Or African American,6,23.1
,,Hispanic Or Latino,1,3.8
,,White,19,73.1
,Hallen School,Black Or African American,6,19.4
,,White,25,80.6
,High Horizons Magnet School,Black Or African American,4,11.1
,,Hispanic Or Latino,2,5.6
,,White,28,77.8
,,American Indian Or Alaska Native,1,2.8
,,Asian,1,2.8
,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Black Or African American,3,9.1
,,Hispanic Or Latino,2,6.1
,,White,25,75.8
,,Asian,3,9.1
,Interdistrict Discovery Magnet School,Black Or African American,5,12.2
,,Hispanic Or Latino,2,4.9
,,White,33,80.5
,,American Indian Or Alaska Native,1,2.4
,James J. Curiale School,Black Or African American,8,14
,,Hispanic Or Latino,5,8.8
,,White,43,75.4
,,Asian,1,1.8
,Jettie S. Tisdale School,Black Or African American,8,13.3
,,Hispanic Or Latino,5,8.3
,,White,47,78.3
,John Winthrop School,Black Or African American,10,19.6
,,Hispanic Or Latino,1,2
,,White,39,76.5
,,Asian,1,2
,Luis Munoz Marin School,Black Or African American,1,1.6
,,Hispanic Or Latino,11,17.5
,,Two Or More Races,1,1.6
,,White,48,76.2
,,Asian,2,3.2
,Madison School,Black Or African American,2,4.8
,,Hispanic Or Latino,3,7.1
,,White,36,85.7
,,Asian,1,2.4
,Multicultural Magnet School,Black Or African American,2,4.9
,,Hispanic Or Latino,10,24.4
,,White,26,63.4
,,American Indian Or Alaska Native,1,2.4
,,Asian,2,4.9
,Park City Magnet School,Black Or African American,3,7.9
,,Hispanic Or Latino,5,13.2
,,White,28,73.7
,,Asian,2,5.3
,Paul Laurence Dunbar School,Black Or African American,7,20.6
,,Hispanic Or Latino,4,11.8
,,White,23,67.6
,Read School,Black Or African American,9,14.8
,,Hispanic Or Latino,4,6.6
,,White,47,77
,,Asian,1,1.6
,Roosevelt School,Black Or African American,2,4.4
,,Hispanic Or Latino,9,20
,,White,34,75.6
,Thomas Hooker School,Black Or African American,5,14.7
,,Hispanic Or Latino,4,11.8
,,White,25,73.5
,Waltersville School,Black Or African American,4,8.3
,,Hispanic Or Latino,10,20.8
,,White,32,66.7
,,Asian,2,4.2
,Warren Harding High School,Black Or African American,12,13.6
,,Hispanic Or Latino,17,19.3
,,White,57,64.8
,,American Indian Or Alaska Native,2,2.3
,Wilbur Cross School,Black Or African American,13,34.2
,,Hispanic Or Latino,1,2.6
,,White,24,63.2
Bristol School District,Alternative Special Education Program (ASEP),White,5,100
,Bristol Central High School,Black Or African American,5,5.1
,,Hispanic Or Latino,1,1
,,Two Or More Races,1,1
,,White,89,90.8
,,Asian,2,2
,Bristol Early Childhood Center-BECC,White,9,100
,Bristol Eastern High School,Black Or African American,2,2.1
,,Hispanic Or Latino,2,2.1
,,White,91,95.8
,Bristol Preparatory Academy,White,5,100
,Chippens Hill Middle School,Hispanic Or Latino,2,3
,,White,65,97
,Chippens Hill Middle School Functional Program,White,1,100
,Community/Vocational Program,White,1,100
,Edgewood School,Hispanic Or Latino,2,6.5
,,White,29,93.5
,Ellen P. Hubbell School,Hispanic Or Latino,1,2.6
,,White,38,97.4
,Greene-Hills School,Black Or African American,1,1.3
,,Hispanic Or Latino,3,3.9
,,White,71,93.4
,,American Indian Or Alaska Native,1,1.3
,Ivy Drive School,White,33,100
,Mountain View School,White,34,100
,Northeast Middle School,White,45,100
,South Side School,Hispanic Or Latino,1,2.6
,,White,37,97.4
,Stafford School,Hispanic Or Latino,1,2.3
,,White,42,95.5
,,American Indian Or Alaska Native,1,2.3
,West Bristol School,Black Or African American,2,2.6
,,Hispanic Or Latino,4,5.2
,,White,71,92.2
