"Chronic Absenteeism, Trend"
"All Districts, All Schools, Race/Ethnicity"

"",,,,,"% Chronically Absent",,,,
"District","District Code","School","School Code","Race/Ethnicity","2013-14","2014-15","2015-16","2016-17","2017-18"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",5.9,8.9,7.8,6.2,4.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",7.8,16.9,17.4,17.1,10.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","White","N/A","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","American Indian or Alaska Native","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","Asian","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","Black or African American",5.9,8.9,7.8,6.2,4.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","Hispanic/Latino of any race",7.8,16.9,17.4,17.1,10.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","Two or More Races","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Default School","=""0000000""","White","N/A","*","*","*","*"
"Amistad Academy District","=""2790013""","Default School","=""0000000""","American Indian or Alaska Native","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Default School","=""0000000""","Black or African American",2.8,4.0,4.5,5.3,7.1
"Amistad Academy District","=""2790013""","Default School","=""0000000""","Hispanic/Latino of any race",4.5,7.2,5.9,5.6,7.5
"Amistad Academy District","=""2790013""","Default School","=""0000000""","Two or More Races","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Default School","=""0000000""","White","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American","*",4.0,4.5,5.3,7.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",4.5,7.2,"*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*","*","*","*","*"
"Andover School District","=""0010011""","Default School","=""0000000""","Asian","*","*","*","*","N/A"
"Andover School District","=""0010011""","Default School","=""0000000""","Black or African American","*","*","*","*","N/A"
"Andover School District","=""0010011""","Default School","=""0000000""","Hispanic/Latino of any race","*","*","*","*","*"
"Andover School District","=""0010011""","Default School","=""0000000""","Two or More Races","*","*","*","*","*"
"Andover School District","=""0010011""","Default School","=""0000000""","White","*","*","*",3.8,"*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*","*","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*","*","*","*","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Two or More Races","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","White","*","*","*",3.8,"*"
"Ansonia School District","=""0020011""","Default School","=""0000000""","American Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","Default School","=""0000000""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Default School","=""0000000""","Black or African American",13.5,20.7,18.9,25.8,27.0
"Ansonia School District","=""0020011""","Default School","=""0000000""","Hispanic/Latino of any race",14.0,17.3,14.7,18.8,20.7
"Ansonia School District","=""0020011""","Default School","=""0000000""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Default School","=""0000000""","Two or More Races","*",13.2,14.3,18.7,15.5
"Ansonia School District","=""0020011""","Default School","=""0000000""","White",9.1,14.6,12.9,14.7,13.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","American Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",22.5,"*",18.2,"*",45.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic/Latino of any race",18.2,23.8,20.5,30.2,37.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","*","*","*","*","*"
