"Student Enrollment Trend"
"Student Counts by District and Year"
"All Districts"

"",,"YEAR",,,,,
"DISTRICT","District Code","2013-14","2014-15","2015-16","2016-17","2017-18","2018-19"
"Achievement First Hartford Academy Inc. District","=""2880013""",870,954,1063,1066,1149,1112
"Amistad Academy District","=""2790013""",937,984,1036,1057,1081,1083
"Andover School District","=""0010011""",299,275,250,225,204,191
"Ansonia School District","=""0020011""",2338,2415,2382,2364,2304,2324
"Area Cooperative Educational Services","=""2440014""",1933,1939,1948,1947,1942,1874
"Ashford School District","=""0030011""",424,417,400,407,395,410
"Avon School District","=""0040011""",3387,3332,3285,3288,3221,3152
"Barkhamsted School District","=""0050011""",307,317,286,255,248,227
"Berlin School District","=""0070011""",2963,2909,2879,2805,2795,2803
"Bethany School District","=""0080011""",436,407,383,356,365,366
"Bethel School District","=""0090011""",3000,2939,2971,2996,3059,3112
"Bloomfield School District","=""0110011""",2096,2115,2078,2157,2149,2184
"Bolton School District","=""0120011""",869,847,820,820,812,786
"Booker T. Washington Academy District","=""2950013""",0,91,180,241,300,360
"Bozrah School District","=""0130011""",244,211,202,208,204,203
"Branford School District","=""0140011""",3245,3108,3066,2983,2918,2860
"Brass City Charter School District","=""2900013""",115,150,186,219,254,287
"Bridgeport Achievement First District","=""2850013""",835,977,1016,1044,1062,1093
"Bridgeport School District","=""0150011""",20929,21244,21191,21222,20896,20572
"Bristol School District","=""0170011""",8268,8233,8170,8073,7997,7956
"Brookfield School District","=""0180011""",2771,2719,2692,2673,2639,2630
"Brooklyn School District","=""0190011""",926,920,908,863,898,922
"Canaan School District","=""0210011""","*",78,"*",73,71,63
"Canterbury School District","=""0220011""",464,477,494,471,459,471
"Canton School District","=""0230011""",1700,1629,1633,1623,1608,1560
"Capital Preparatory Harbor School District","=""2970013""",0,0,249,254,439,634
"Capitol Region Education Council","=""2410014""",7177,8166,8354,8590,8564,8672
"Chaplin School District","=""0240011""",183,178,176,158,148,156
"Charter School for Young Children on Asylum Hill District","=""2870013""",0,0,0,0,0,0
"Cheshire School District","=""0250011""",4620,4551,4413,4358,4296,4284
"Chester School District","=""0260011""",228,219,211,206,205,194
"Clinton School District","=""0270011""",1961,1888,1822,1790,1767,1744
"Colchester School District","=""0280011""",2744,2654,2563,2488,2452,2321
"Colebrook School District","=""0290011""",99,91,84,78,87,84
"Columbia School District","=""0300011""",474,458,454,434,437,437
"Common Ground High School District","=""2680013""",180,180,186,200,202,216
"Connecticut Technical Education and Career System","=""9000016""",10698,10790,10710,10556,10729,10647
"Cooperative Educational Services","=""2430014""",822,849,869,842,834,839
"Cornwall School District","=""0310011""",105,91,92,72,73,91
"Coventry School District","=""0320011""",1693,1651,1634,1625,1690,1649
"Cromwell School District","=""0330011""",1968,1984,1997,2004,1973,1946
"Danbury School District","=""0340011""",10793,10945,11157,11371,11483,11531
"Darien School District","=""0350011""",4929,4932,4884,4828,4818,4769
"Deep River School District","=""0360011""",333,316,306,285,276,242
"Department of Mental Health and Addiction Services","=""3370015""","*",7,"*","*","*","*"
"Derby School District","=""0370011""",1522,1467,1403,1387,1370,1308
"East Granby School District","=""0400011""",874,886,878,866,848,855
"East Haddam School District","=""0410011""",1199,1143,1073,1032,1023,1009
"East Hampton School District","=""0420011""",1877,1835,1893,1876,1869,1869
"East Hartford School District","=""0430011""",7158,7060,6882,6734,6868,6836
"East Haven School District","=""0440011""",3127,3011,3051,2996,2872,2896
"East Lyme School District","=""0450011""",2868,2839,2792,2782,2757,2699
"East Windsor School District","=""0470011""",1216,1138,1105,1049,1082,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",366,411,425,413,425,429
"Eastford School District","=""0390011""",152,139,134,143,151,166
"Easton School District","=""0460011""",962,936,922,882,906,901
"EdAdvance","=""2420014""",229,250,227,219,232,278
"Ellington School District","=""0480011""",2664,2658,2633,2647,2688,2735
"Elm City College Preparatory School","=""2810013""",0,0,0,0,0,0
"Elm City College Preparatory School District","=""2890013""",624,635,703,726,752,756
"Elm City Montessori School District","=""2910013""",0,70,113,140,170,199
"Enfield School District","=""0490011""",5225,5174,5189,5249,5206,5100
"Essex School District","=""0500011""",510,454,420,371,346,335
"Explorations District","=""2720013""",83,88,92,92,96,88
"Fairfield School District","=""0510011""",10288,10213,10091,10027,9976,9850
"Farmington School District","=""0520011""",4036,4020,4096,4078,4112,4094
"Franklin School District","=""0530011""",185,170,170,163,165,154
"Glastonbury School District","=""0540011""",6410,6148,6069,5996,5919,5898
"Granby School District","=""0560011""",2065,1970,1961,1880,1874,1877
"Great Oaks Charter School District","=""2940013""",0,127,226,324,400,465
"Greenwich School District","=""0570011""",8786,8813,8825,8971,9042,9099
"Griswold School District","=""0580011""",1981,1897,1891,1848,1779,1776
"Groton School District","=""0590011""",4702,4565,4519,4461,4381,4324
"Guilford School District","=""0600011""",3540,3427,3419,3413,3388,3311
"Hamden School District","=""0620011""",5811,5680,5547,5493,5420,5412
"Hampton School District","=""0630011""",111,105,101,105,93,93
"Hartford School District","=""0640011""",21820,21953,21463,20891,20142,19767
"Hartland School District","=""0650011""",205,203,188,189,173,162
"Hebron School District","=""0670011""",868,786,732,706,702,664
"Highville Charter School District","=""2860013""",361,403,462,502,502,502
