"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",79.8,75.7,71.8,78.3,75.5,60.9,79.3,76.6,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",51.4,46.0,44.5,51.6,45.4,47.2,54.1,49.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",52.9,50.2,45.0,55.9,47.1,44.4,56.7,52.6,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",60.5,54.2,45.4,60.2,55.2,46.1,62.0,58.4,"N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",63.8,57.9,47.6,62.0,56.2,46.9,63.1,58.7,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",72.2,65.1,64.4,72.1,62.8,56.6,72.1,63.6,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""",74.5,73.5,69.6,74.2,75.8,66.5,73.8,72.4,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",82.0,80.2,65.2,82.2,80.3,69.6,82.0,80.3,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",82.9,77.2,"N/A",81.6,77.9,"N/A",80.4,75.2,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",85.0,79.8,"N/A",83.1,78.2,"N/A",84.7,80.5,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",82.9,76.5,66.5,82.1,75.9,66.3,82.8,77.2,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",75.9,62.2,62.5,75.0,62.8,54.9,74.2,64.0,"N/A"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*","*","*","*","*","*","*","*","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",61.5,59.8,62.8,61.5,59.6,59.5,64.0,62.2,"N/A"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",73.8,64.4,63.1,73.1,69.7,62.2,73.7,68.4,"N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",75.9,72.4,64.5,72.5,70.9,61.2,73.1,72.7,"N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",75.8,70.5,61.1,74.7,71.4,54.8,76.5,74.0,"N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",77.1,71.5,60.4,75.7,70.9,55.4,77.0,73.7,"N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",75.6,73.2,67.8,76.4,74.1,62.8,76.5,71.4,"N/A"
