region,district
6 wealthiest Fairfield County,Darien
6 wealthiest Fairfield County,New Canaan
6 wealthiest Fairfield County,Ridgefield
6 wealthiest Fairfield County,Weston
6 wealthiest Fairfield County,Westport
6 wealthiest Fairfield County,Wilton
Fairfield County,Bethel
Fairfield County,Bridgeport
Fairfield County,Brookfield
Fairfield County,Danbury
Fairfield County,Darien
Fairfield County,Regional School District 09
Fairfield County,Fairfield
Fairfield County,Greenwich
Fairfield County,Monroe
Fairfield County,New Canaan
Fairfield County,New Fairfield
Fairfield County,Newtown
Fairfield County,Norwalk
Fairfield County,Ridgefield
Fairfield County,Shelton
Fairfield County,Sherman
Fairfield County,Stamford
Fairfield County,Stratford
Fairfield County,Trumbull
Fairfield County,Weston
Fairfield County,Westport
Fairfield County,Wilton
Greater Hartford,Regional School District 08
Greater Hartford,Avon
Greater Hartford,Berlin
Greater Hartford,Bloomfield
Greater Hartford,Bolton
Greater Hartford,Canton
Greater Hartford,Columbia
Greater Hartford,Coventry
Greater Hartford,East Granby
Greater Hartford,East Hartford
Greater Hartford,East Windsor
Greater Hartford,Ellington
Greater Hartford,Enfield
Greater Hartford,Farmington
Greater Hartford,Glastonbury
Greater Hartford,Granby
Greater Hartford,Hartford
Greater Hartford,Manchester
Greater Hartford,Regional School District 19
Greater Hartford,New Britain
Greater Hartford,Newington
Greater Hartford,Plainville
Greater Hartford,Rocky Hill
Greater Hartford,Simsbury
Greater Hartford,Somers
Greater Hartford,South Windsor
Greater Hartford,Southington
Greater Hartford,Stafford
Greater Hartford,Suffield
Greater Hartford,Tolland
Greater Hartford,Vernon
Greater Hartford,West Hartford
Greater Hartford,Wethersfield
Greater Hartford,Windsor
Greater Hartford,Windsor Locks
Greater New Haven,Regional School District 05
Greater New Haven,Branford
Greater New Haven,East Haven
Greater New Haven,Guilford
Greater New Haven,Hamden
Greater New Haven,Madison
Greater New Haven,Milford
Greater New Haven,New Haven
Greater New Haven,North Branford
Greater New Haven,North Haven
Greater New Haven,West Haven
Greater Waterbury,Regional School District 16
Greater Waterbury,Regional School District 14
Greater Waterbury,Regional School District 12
Greater Waterbury,Cheshire
Greater Waterbury,Regional School District 06
Greater Waterbury,Litchfield
Greater Waterbury,Regional School District 15
Greater Waterbury,Naugatuck
Greater Waterbury,New Milford
Greater Waterbury,Oxford
Greater Waterbury,Thomaston
Greater Waterbury,Waterbury
Greater Waterbury,Watertown
Greater Waterbury,Wolcott
Hartford Inner Ring,Berlin
Hartford Inner Ring,Bloomfield
Hartford Inner Ring,East Hartford
Hartford Inner Ring,Enfield
Hartford Inner Ring,Manchester
Hartford Inner Ring,Newington
Hartford Inner Ring,Plainville
Hartford Inner Ring,Rocky Hill
Hartford Inner Ring,Vernon
Hartford Inner Ring,West Hartford
Hartford Inner Ring,Wethersfield
Hartford Inner Ring,Windsor
Hartford Inner Ring,Windsor Locks
Hartford Outer Ring,Regional School District 08
Hartford Outer Ring,Avon
Hartford Outer Ring,Bolton
Hartford Outer Ring,Canton
Hartford Outer Ring,Columbia
Hartford Outer Ring,Coventry
Hartford Outer Ring,East Granby
Hartford Outer Ring,East Windsor
Hartford Outer Ring,Ellington
Hartford Outer Ring,Farmington
Hartford Outer Ring,Glastonbury
Hartford Outer Ring,Granby
Hartford Outer Ring,Regional School District 19
Hartford Outer Ring,Simsbury
Hartford Outer Ring,Somers
Hartford Outer Ring,South Windsor
Hartford Outer Ring,Southington
Hartford Outer Ring,Stafford
Hartford Outer Ring,Suffield
Hartford Outer Ring,Tolland
Lower Naugatuck Valley,Ansonia
Lower Naugatuck Valley,Regional School District 16
Lower Naugatuck Valley,Derby
Lower Naugatuck Valley,Naugatuck
Lower Naugatuck Valley,Oxford
Lower Naugatuck Valley,Seymour
Lower Naugatuck Valley,Shelton
New Haven Inner Ring,East Haven
New Haven Inner Ring,Hamden
New Haven Inner Ring,West Haven
New Haven Outer Ring,Regional School District 05
New Haven Outer Ring,Branford
New Haven Outer Ring,Guilford
New Haven Outer Ring,Madison
New Haven Outer Ring,Milford
New Haven Outer Ring,North Branford
New Haven Outer Ring,North Haven
